Area,time,Temperature,Salinity,Oxygen Electrode,Oxygen Saturation
South Bay,2001-05,0.835,0.891,1.000,0.765
Suisun Bay,2001-05,0.900,0.469,1.000,0.860
San Pablo Bay,2001-06,0.956,0.774,0.588,0.893
South Bay,2001-06,0.941,0.894,0.593,0.823
Suisun Bay,2001-06,1.000,0.290,0.596,0.899
San Pablo Bay,2001-07,0.896,0.876,0.581,0.937
South Bay,2001-07,0.909,0.928,0.570,0.805
Suisun Bay,2001-07,0.916,0.384,0.580,0.908
San Pablo Bay,2001-09,0.891,0.913,0.561,0.932
South Bay,2001-09,0.900,0.974,0.563,0.779
Suisun Bay,2001-09,0.915,0.441,0.583,0.932
San Pablo Bay,2001-10,0.860,0.867,0.557,0.917
South Bay,2001-10,0.838,0.979,0.496,0.726
Suisun Bay,2001-10,0.834,0.608,0.571,0.918
San Pablo Bay,2001-11,0.658,0.905,0.615,0.874
South Bay,2001-11,0.622,0.951,0.637,0.779
Suisun Bay,2001-11,0.631,0.367,0.654,0.850
South Bay,2001-12,0.497,0.870,0.689,0.788
San Pablo Bay,2002-01,0.487,0.636,0.642,0.893
South Bay,2002-01,0.459,0.733,0.689,0.832
Suisun Bay,2002-01,0.398,0.009,0.673,0.850
South Bay,2002-02,0.471,0.763,0.244,0.805
San Pablo Bay,2002-03,0.563,0.437,0.649,0.903
South Bay,2002-03,0.601,0.796,0.711,0.912
Suisun Bay,2002-03,0.527,0.008,0.673,0.908
San Pablo Bay,2002-04,0.748,0.530,0.588,0.903
South Bay,2002-04,0.694,0.812,0.570,0.779
Suisun Bay,2002-04,0.737,0.041,0.609,0.908
San Pablo Bay,2002-05,0.737,0.768,0.581,0.947
South Bay,2002-05,0.715,0.831,0.578,0.814
Suisun Bay,2002-05,0.740,0.198,0.612,0.957
San Pablo Bay,2002-06,0.875,0.562,0.554,0.932
South Bay,2002-06,0.832,0.867,0.533,0.805
Suisun Bay,2002-06,0.901,0.083,0.551,0.918
San Pablo Bay,2002-07,0.924,0.782,0.527,0.990
South Bay,2002-07,0.946,0.918,0.504,0.867
Suisun Bay,2002-07,0.975,0.292,0.535,1.000
San Pablo Bay,2002-08,0.907,0.908,0.517,0.903
South Bay,2002-08,0.937,0.952,0.504,0.779
Suisun Bay,2002-08,0.871,0.546,0.551,0.918
San Pablo Bay,2002-09,0.932,0.819,0.520,0.903
South Bay,2002-09,0.915,0.965,0.474,0.752
Suisun Bay,2002-09,0.909,0.459,0.532,0.908
San Pablo Bay,2002-10,0.878,0.914,0.503,0.874
South Bay,2002-10,0.875,0.970,0.489,0.743
Suisun Bay,2002-10,0.863,0.701,0.529,0.889
San Pablo Bay,2002-11,0.724,0.823,0.561,0.883
South Bay,2002-11,0.704,0.948,0.570,0.779
Suisun Bay,2002-11,0.684,0.463,0.564,0.860
San Pablo Bay,2002-12,0.607,0.865,0.581,0.874
South Bay,2002-12,0.617,0.942,0.563,0.743
Suisun Bay,2002-12,0.555,0.585,0.590,0.850
San Pablo Bay,2003-01,0.502,0.349,0.662,0.879
South Bay,2003-01,0.512,0.740,0.652,0.832
Suisun Bay,2003-01,0.430,0.006,0.622,0.792
San Pablo Bay,2003-02,0.589,0.640,0.615,0.845
South Bay,2003-02,0.571,0.705,0.719,0.876
Suisun Bay,2003-02,0.499,0.073,0.660,0.860
San Pablo Bay,2003-03,0.678,0.704,0.595,0.854
South Bay,2003-03,0.641,0.735,0.659,0.956
Suisun Bay,2003-03,0.645,0.168,0.628,0.884
San Pablo Bay,2003-04,0.685,0.550,0.595,0.864
South Bay,2003-04,0.667,0.775,0.578,0.761
Suisun Bay,2003-04,0.677,0.015,0.628,0.908
San Pablo Bay,2003-05,0.829,0.307,0.534,0.806
South Bay,2003-05,0.728,0.748,0.556,0.752
Suisun Bay,2003-05,0.830,0.004,0.567,0.860
San Pablo Bay,2003-06,0.885,0.438,0.547,0.854
South Bay,2003-06,0.859,0.767,0.511,0.743
Suisun Bay,2003-06,0.905,0.020,0.554,0.860
San Pablo Bay,2003-07,0.976,0.672,0.493,0.845
South Bay,2003-07,0.958,0.821,0.481,0.743
Suisun Bay,2003-07,0.996,0.201,0.526,0.870
San Pablo Bay,2003-08,1.000,0.670,0.493,0.854
South Bay,2003-08,0.973,0.890,0.504,0.796
Suisun Bay,2003-08,0.952,0.192,0.532,0.879
San Pablo Bay,2003-09,0.933,0.850,0.490,0.874
South Bay,2003-09,0.937,0.909,0.504,0.814
Suisun Bay,2003-09,0.903,0.469,0.529,0.889
San Pablo Bay,2003-10,0.836,0.917,0.527,0.883
South Bay,2003-10,0.813,0.927,0.556,0.805
Suisun Bay,2003-10,0.821,0.702,0.545,0.899
San Pablo Bay,2003-11,0.677,0.872,0.554,0.942
South Bay,2003-11,0.670,0.935,0.578,0.841
Suisun Bay,2003-11,0.652,0.564,0.571,0.928
San Pablo Bay,2003-12,0.540,0.705,0.615,0.917
South Bay,2003-12,0.538,0.904,0.615,0.823
Suisun Bay,2003-12,0.489,0.215,0.635,0.879
San Pablo Bay,2004-01,0.483,0.436,0.655,0.883
South Bay,2004-01,0.488,0.756,0.644,0.814
Suisun Bay,2004-01,0.406,0.005,0.660,0.831
San Pablo Bay,2004-02,0.526,0.506,0.639,0.888
South Bay,2004-02,0.526,0.721,0.667,0.823
Suisun Bay,2004-02,0.446,0.009,0.686,0.870
San Pablo Bay,2004-03,0.597,0.265,0.635,0.883
South Bay,2004-03,0.701,0.553,0.681,0.912
Suisun Bay,2004-03,0.560,0.004,0.635,0.870
San Pablo Bay,2004-04,0.717,0.420,0.588,0.893
South Bay,2004-04,0.710,0.706,0.593,0.814
Suisun Bay,2004-04,0.694,0.007,0.622,0.918
San Pablo Bay,2004-05,0.857,0.642,0.534,0.893
South Bay,2004-05,0.793,0.764,0.556,0.796
Suisun Bay,2004-05,0.838,0.127,0.561,0.908
San Pablo Bay,2004-06,0.920,0.716,0.514,0.883
South Bay,2004-06,0.898,0.850,0.519,0.779
Suisun Bay,2004-06,0.924,0.382,0.545,0.908
San Pablo Bay,2004-07,0.953,0.865,0.514,0.951
South Bay,2004-07,0.993,0.921,0.504,0.814
Suisun Bay,2004-07,0.973,0.462,0.529,0.976
San Pablo Bay,2004-08,0.949,0.886,0.507,0.932
South Bay,2004-08,0.980,0.949,0.511,0.832
Suisun Bay,2004-08,0.950,0.462,0.532,0.947
San Pablo Bay,2004-09,0.993,0.854,0.541,1.000
South Bay,2004-09,0.998,0.959,0.481,0.805
Suisun Bay,2004-09,0.975,0.546,0.500,0.928
South Bay,2004-10,0.834,0.965,0.511,0.814
San Pablo Bay,2004-11,0.729,0.849,0.527,0.893
South Bay,2004-11,0.712,0.936,0.533,0.796
Suisun Bay,2004-11,0.741,0.580,0.540,0.894
San Pablo Bay,2004-12,0.584,0.866,0.547,0.874
South Bay,2004-12,0.553,0.910,0.556,0.761
Suisun Bay,2004-12,0.508,0.615,0.580,0.860
San Pablo Bay,2005-01,0.511,0.716,0.588,0.883
South Bay,2005-01,0.484,0.811,0.607,0.796
Suisun Bay,2005-01,0.417,0.130,0.615,0.831
San Pablo Bay,2005-02,0.625,0.719,0.537,0.874
South Bay,2005-02,0.587,0.748,0.578,0.796
Suisun Bay,2005-02,0.575,0.129,0.564,0.870
San Pablo Bay,2005-03,0.704,0.671,0.500,0.883
South Bay,2005-03,0.688,0.722,0.519,0.796
Suisun Bay,2005-03,0.682,0.165,0.506,0.860
San Pablo Bay,2005-04,0.707,0.284,0.486,0.864
South Bay,2005-04,0.678,0.625,0.489,0.796
Suisun Bay,2005-04,0.679,0.006,0.494,0.879
San Pablo Bay,2005-05,0.795,0.389,0.432,0.864
South Bay,2005-05,0.759,0.713,0.444,0.788
Suisun Bay,2005-05,0.786,0.010,0.449,0.889
San Pablo Bay,2005-06,0.860,0.542,0.405,0.845
South Bay,2005-06,0.873,0.725,0.422,0.796
Suisun Bay,2005-06,0.873,0.023,0.436,0.879
South Bay,2005-08,0.901,0.877,0.541,0.858
San Pablo Bay,2005-09,0.922,0.768,0.500,0.874
South Bay,2005-09,0.876,0.876,0.511,0.788
Suisun Bay,2005-09,0.905,0.396,0.532,0.903
San Pablo Bay,2005-10,0.828,0.892,0.507,0.893
South Bay,2005-10,0.783,0.913,0.526,0.788
Suisun Bay,2005-10,0.808,0.483,0.542,0.889
San Pablo Bay,2005-11,0.737,0.892,0.520,0.883
South Bay,2005-11,0.704,0.919,0.556,0.814
Suisun Bay,2005-11,0.698,0.573,0.558,0.889
San Pablo Bay,2005-12,0.556,0.785,0.554,0.864
South Bay,2005-12,0.563,0.919,0.567,0.779
Suisun Bay,2005-12,0.500,0.348,0.593,0.879
San Pablo Bay,2006-01,0.527,0.138,0.601,0.816
South Bay,2006-01,0.534,0.414,0.641,0.788
Suisun Bay,2006-01,0.472,0.003,0.583,0.792
San Pablo Bay,2006-02,0.588,0.536,0.574,0.816
South Bay,2006-02,0.529,0.573,0.752,0.920
Suisun Bay,2006-02,0.527,0.004,0.635,0.841
San Pablo Bay,2006-03,0.517,0.195,0.655,0.835
South Bay,2006-03,0.530,0.539,0.667,0.796
Suisun Bay,2006-03,0.457,0.003,0.647,0.831
San Pablo Bay,2006-04,0.620,0.091,0.628,0.786
South Bay,2006-04,0.623,0.436,0.681,0.841
Suisun Bay,2006-04,0.577,0.003,0.596,0.763
San Pablo Bay,2006-05,0.809,0.228,0.554,0.859
South Bay,2006-05,0.774,0.432,0.581,0.779
Suisun Bay,2006-05,0.800,0.003,0.577,0.928
San Pablo Bay,2006-07,0.952,0.652,0.514,0.917
South Bay,2006-07,0.911,0.705,0.504,0.788
Suisun Bay,2006-07,0.994,0.224,0.526,0.928
San Pablo Bay,2006-08,0.942,0.758,0.507,0.874
South Bay,2006-08,0.945,0.818,0.504,0.779
Suisun Bay,2006-08,0.937,0.208,0.545,0.908
San Pablo Bay,2006-09,0.884,0.809,0.493,0.883
South Bay,2006-09,0.873,0.872,0.474,0.735
Suisun Bay,2006-09,0.887,0.254,0.532,0.918
San Pablo Bay,2006-10,0.784,0.871,0.514,0.874
South Bay,2006-10,0.761,0.893,0.519,0.761
Suisun Bay,2006-10,0.748,0.568,0.551,0.889
San Pablo Bay,2006-11,0.711,0.859,0.541,0.874
South Bay,2006-11,0.684,0.908,0.563,0.796
Suisun Bay,2006-11,0.672,0.545,0.564,0.879
San Pablo Bay,2006-12,0.554,0.791,0.591,0.883
South Bay,2006-12,0.542,0.899,0.593,0.796
Suisun Bay,2006-12,0.491,0.450,0.622,0.879
San Pablo Bay,2007-01,0.464,0.737,0.622,0.913
South Bay,2007-01,0.440,0.868,0.637,0.819
Suisun Bay,2007-01,0.374,0.195,0.683,0.899
San Pablo Bay,2007-02,0.482,0.759,0.601,0.874
South Bay,2007-02,0.484,0.866,0.622,0.796
Suisun Bay,2007-02,0.416,0.341,0.660,0.874
San Pablo Bay,2007-03,0.577,0.591,0.611,0.913
South Bay,2007-03,0.621,0.796,0.630,0.850
Suisun Bay,2007-03,0.531,0.020,0.641,0.894
San Pablo Bay,2007-04,0.697,0.696,0.554,0.903
South Bay,2007-04,0.658,0.804,0.578,0.805
Suisun Bay,2007-04,0.699,0.196,0.599,0.918
South Bay,2007-06,0.909,0.912,0.489,0.761
San Pablo Bay,2007-07,0.981,0.725,0.480,0.903
South Bay,2007-07,0.967,0.952,0.496,0.823
Suisun Bay,2007-07,0.939,0.427,0.513,0.918
South Bay,2007-08,0.929,0.976,0.526,0.912
San Pablo Bay,2007-09,0.953,0.923,0.449,0.859
South Bay,2007-09,0.852,0.985,0.474,0.779
Suisun Bay,2007-09,0.922,0.552,0.500,0.918
San Pablo Bay,2007-10,0.764,0.922,0.507,0.893
South Bay,2007-10,0.755,0.968,0.526,0.805
Suisun Bay,2007-10,0.744,0.737,0.519,0.889
San Pablo Bay,2007-11,0.715,0.926,0.514,0.874
South Bay,2007-11,0.705,0.956,0.504,0.761
Suisun Bay,2007-11,0.693,0.747,0.532,0.889
San Pablo Bay,2007-12,0.545,0.939,0.554,0.893
South Bay,2007-12,0.520,0.951,0.585,0.796
Suisun Bay,2007-12,0.500,0.855,0.580,0.889
South Bay,2008-01,0.435,0.890,0.622,0.814
San Pablo Bay,2008-02,0.480,0.424,0.622,0.879
South Bay,2008-02,0.478,0.766,0.652,0.850
Suisun Bay,2008-02,0.409,0.007,0.628,0.836
San Pablo Bay,2008-03,0.636,0.524,0.581,0.913
South Bay,2008-03,0.616,0.748,0.630,0.876
Suisun Bay,2008-03,0.594,0.028,0.583,0.870
South Bay,2008-04,0.684,0.828,0.689,1.000
San Pablo Bay,2008-05,0.734,0.717,0.530,0.883
South Bay,2008-05,0.753,0.882,0.504,0.761
Suisun Bay,2008-05,0.752,0.218,0.558,0.903
San Pablo Bay,2008-06,0.869,0.805,0.507,0.913
South Bay,2008-06,0.887,0.927,0.489,0.788
Suisun Bay,2008-06,0.884,0.374,0.513,0.918
San Pablo Bay,2008-07,0.959,0.894,0.480,0.903
South Bay,2008-07,1.000,0.952,0.444,0.770
Suisun Bay,2008-07,0.956,0.520,0.494,0.908
San Pablo Bay,2008-08,0.944,0.847,0.486,0.883
South Bay,2008-08,0.932,0.984,0.504,0.796
Suisun Bay,2008-08,0.923,0.518,0.519,0.918
San Pablo Bay,2008-09,0.923,0.899,0.480,0.864
South Bay,2008-09,0.938,0.997,0.474,0.752
Suisun Bay,2008-09,0.854,0.599,0.535,0.908
San Pablo Bay,2008-10,0.792,0.979,0.476,0.845
South Bay,2008-10,0.799,0.996,0.496,0.779
Suisun Bay,2008-10,0.772,0.893,0.510,0.889
San Pablo Bay,2008-11,0.728,0.883,0.527,0.883
South Bay,2008-11,0.714,0.974,0.526,0.770
Suisun Bay,2008-11,0.694,0.659,0.535,0.870
San Pablo Bay,2008-12,0.515,0.916,0.574,0.874
South Bay,2008-12,0.518,0.953,0.593,0.788
Suisun Bay,2008-12,0.445,0.749,0.615,0.879
San Pablo Bay,2009-01,0.480,0.874,0.605,0.903
South Bay,2009-01,0.465,0.926,0.615,0.796
Suisun Bay,2009-01,0.409,0.633,0.647,0.899
San Pablo Bay,2009-02,0.523,0.872,0.574,0.893
South Bay,2009-02,0.499,0.902,0.630,0.823
Suisun Bay,2009-02,0.465,0.537,0.631,0.889
San Pablo Bay,2009-03,0.588,0.394,0.608,0.859
South Bay,2009-03,0.573,0.775,0.630,0.823
Suisun Bay,2009-03,0.537,0.011,0.603,0.821
San Pablo Bay,2009-04,0.651,0.586,0.595,0.913
South Bay,2009-04,0.606,0.803,0.593,0.805
Suisun Bay,2009-04,0.641,0.183,0.612,0.908
San Pablo Bay,2009-05,0.823,0.700,0.541,0.927
South Bay,2009-05,0.714,0.857,0.548,0.805
Suisun Bay,2009-05,0.874,0.190,0.558,0.947
San Pablo Bay,2009-06,0.927,0.722,0.507,0.883
South Bay,2009-06,0.863,0.889,0.496,0.788
Suisun Bay,2009-06,0.919,0.244,0.526,0.889
San Pablo Bay,2009-07,0.919,0.875,0.497,0.908
South Bay,2009-07,0.953,0.929,0.504,0.805
Suisun Bay,2009-07,0.963,0.468,0.519,0.918
San Pablo Bay,2009-08,0.906,0.904,0.488,0.876
South Bay,2009-08,0.963,0.962,0.481,0.788
Suisun Bay,2009-08,0.887,0.486,0.516,0.899
San Pablo Bay,2009-09,0.951,0.889,0.480,0.845
South Bay,2009-09,0.944,0.975,0.474,0.735
Suisun Bay,2009-09,0.962,0.555,0.513,0.879
San Pablo Bay,2009-10,0.727,0.900,0.524,0.883
South Bay,2009-10,0.706,0.938,0.556,0.814
Suisun Bay,2009-10,0.707,0.321,0.567,0.889
San Pablo Bay,2009-11,0.662,0.866,0.520,0.854
South Bay,2009-11,0.648,0.949,0.533,0.765
Suisun Bay,2009-11,0.626,0.635,0.564,0.870
San Pablo Bay,2009-12,0.566,0.906,0.544,0.859
South Bay,2009-12,0.570,0.947,0.563,0.779
Suisun Bay,2009-12,0.506,0.730,0.603,0.879
San Pablo Bay,2010-01,0.490,0.809,0.595,0.883
South Bay,2010-01,0.474,0.868,0.615,0.796
Suisun Bay,2010-01,0.420,0.473,0.622,0.865
San Pablo Bay,2010-02,0.598,0.552,0.588,0.864
South Bay,2010-02,0.553,0.758,0.630,0.823
Suisun Bay,2010-02,0.551,0.139,0.590,0.841
San Pablo Bay,2010-03,0.694,0.699,0.554,0.903
South Bay,2010-03,0.642,0.713,0.630,0.850
Suisun Bay,2010-03,0.671,0.250,0.587,0.908
San Pablo Bay,2010-04,0.648,0.666,0.578,0.922
South Bay,2010-04,0.628,0.767,0.600,0.832
Suisun Bay,2010-04,0.637,0.211,0.615,0.947
San Pablo Bay,2010-05,0.739,0.534,0.544,0.888
South Bay,2010-05,0.732,0.760,0.578,0.832
Suisun Bay,2010-05,0.745,0.115,0.590,0.928
San Pablo Bay,2010-06,0.910,0.470,0.520,0.864
South Bay,2010-06,0.877,0.798,0.519,0.796
Suisun Bay,2010-06,0.907,0.011,0.538,0.889
San Pablo Bay,2010-07,0.889,0.692,0.517,0.903
South Bay,2010-07,0.929,0.847,0.507,0.796
Suisun Bay,2010-07,0.883,0.203,0.551,0.928
San Pablo Bay,2010-08,0.878,0.873,0.520,0.908
South Bay,2010-08,0.885,0.895,0.511,0.796
Suisun Bay,2010-08,0.865,0.397,0.554,0.928
San Pablo Bay,2010-09,0.889,0.874,0.493,0.903
South Bay,2010-09,0.902,0.928,0.504,0.792
Suisun Bay,2010-09,0.876,0.508,0.538,0.957
San Pablo Bay,2010-10,0.763,0.906,0.524,0.883
South Bay,2010-10,0.866,0.947,0.511,0.788
Suisun Bay,2010-10,0.755,0.720,0.545,0.889
South Bay,2010-11,0.702,0.944,0.548,0.770
San Pablo Bay,2010-12,0.560,0.812,0.564,0.874
South Bay,2010-12,0.562,0.893,0.574,0.779
Suisun Bay,2010-12,0.524,0.169,0.596,0.850
San Pablo Bay,2011-01,0.413,0.410,0.676,0.864
South Bay,2011-01,0.431,0.697,0.659,0.788
Suisun Bay,2011-01,0.351,0.005,0.660,0.812
San Pablo Bay,2011-02,0.529,0.547,0.615,0.874
South Bay,2011-02,0.538,0.696,0.659,0.841
Suisun Bay,2011-02,0.461,0.017,0.683,0.899
San Pablo Bay,2011-03,0.521,0.057,0.676,0.864
South Bay,2011-03,0.563,0.593,0.674,0.850
Suisun Bay,2011-03,0.489,0.004,0.647,0.860
San Pablo Bay,2011-04,0.711,0.175,0.591,0.859
South Bay,2011-04,0.653,0.465,0.637,0.814
Suisun Bay,2011-04,0.699,0.005,0.609,0.908
South Bay,2011-05,0.706,0.653,0.615,0.841
San Pablo Bay,2011-06,0.816,0.534,0.547,0.883
South Bay,2011-06,0.854,0.692,0.537,0.792
Suisun Bay,2011-06,0.840,0.004,0.571,0.928
San Pablo Bay,2011-07,0.849,0.674,0.534,0.903
South Bay,2011-07,0.937,0.730,0.519,0.788
Suisun Bay,2011-07,0.952,0.025,0.529,0.908
San Pablo Bay,2011-08,0.923,0.656,0.514,0.903
South Bay,2011-08,0.912,0.804,0.519,0.805
Suisun Bay,2011-08,0.949,0.159,0.532,0.923
San Pablo Bay,2011-09,0.891,0.764,0.527,0.942
South Bay,2011-09,0.903,0.856,0.526,0.832
Suisun Bay,2011-09,0.926,0.255,0.532,0.937
San Pablo Bay,2011-10,0.885,0.730,0.520,0.927
South Bay,2011-10,0.862,0.866,0.504,0.788
Suisun Bay,2011-10,0.851,0.193,0.545,0.928
San Pablo Bay,2011-11,0.661,0.853,0.520,0.864
South Bay,2011-11,0.667,0.869,0.533,0.788
Suisun Bay,2011-11,0.628,0.564,0.571,0.894
San Pablo Bay,2011-12,0.515,0.891,0.544,0.874
South Bay,2011-12,0.497,0.874,0.570,0.792
Suisun Bay,2011-12,0.440,0.478,0.598,0.896
San Pablo Bay,2012-01,0.509,0.922,0.568,0.883
South Bay,2012-01,0.495,0.869,0.607,0.796
Suisun Bay,2012-01,0.443,0.788,0.625,0.899
San Pablo Bay,2012-02,0.539,0.897,0.574,0.888
South Bay,2012-02,0.538,0.856,0.607,0.810
Suisun Bay,2012-02,0.477,0.478,0.615,0.886
San Pablo Bay,2012-03,0.553,0.735,0.581,0.893
South Bay,2012-03,0.538,0.841,0.607,0.823
Suisun Bay,2012-03,0.541,0.072,0.606,0.874
San Pablo Bay,2012-04,0.614,0.670,0.554,0.845
South Bay,2012-04,0.685,0.785,0.570,0.805
Suisun Bay,2012-04,0.609,0.257,0.577,0.850
San Pablo Bay,2012-05,0.855,0.624,0.527,0.893
South Bay,2012-05,0.800,0.815,0.567,0.823
Suisun Bay,2012-05,0.820,0.347,0.545,0.908
San Pablo Bay,2012-06,0.922,0.740,0.514,0.913
South Bay,2012-06,0.861,0.860,0.519,0.796
Suisun Bay,2012-06,0.932,0.248,0.519,0.918
San Pablo Bay,2012-07,0.908,0.777,0.507,0.893
South Bay,2012-07,0.913,0.913,0.504,0.792
Suisun Bay,2012-07,0.918,0.382,0.522,0.908
San Pablo Bay,2012-08,0.927,0.709,0.507,0.903
South Bay,2012-08,0.907,0.955,0.481,0.770
Suisun Bay,2012-08,0.921,0.157,0.538,0.928
San Pablo Bay,2012-09,0.878,0.930,0.507,0.932
South Bay,2012-09,0.868,0.966,0.496,0.788
Suisun Bay,2012-09,0.860,0.656,0.532,0.947
San Pablo Bay,2012-10,0.869,0.869,0.486,0.874
South Bay,2012-10,0.865,0.970,0.504,0.788
Suisun Bay,2012-10,0.848,0.671,0.510,0.899
San Pablo Bay,2012-11,0.809,0.867,0.507,0.883
South Bay,2012-11,0.782,0.952,0.481,0.743
Suisun Bay,2012-11,0.784,0.490,0.513,0.865
San Pablo Bay,2012-12,0.683,0.659,0.554,0.869
South Bay,2012-12,0.650,0.900,0.556,0.779
Suisun Bay,2012-12,0.609,0.081,0.545,0.792
San Pablo Bay,2013-01,0.417,0.544,0.625,0.845
South Bay,2013-01,0.407,0.705,0.652,0.779
Suisun Bay,2013-01,0.317,0.018,0.679,0.836
San Pablo Bay,2013-02,0.541,0.783,0.574,0.883
South Bay,2013-02,0.519,0.765,0.674,0.876
Suisun Bay,2013-02,0.507,0.385,0.638,0.918
San Pablo Bay,2013-03,0.646,0.813,0.541,0.883
South Bay,2013-03,0.621,0.806,0.600,0.814
Suisun Bay,2013-03,0.658,0.299,0.603,0.937
San Pablo Bay,2013-04,0.708,0.859,0.514,0.864
South Bay,2013-04,0.660,0.846,0.570,0.805
Suisun Bay,2013-04,0.776,0.461,0.538,0.899
South Bay,2013-05,0.820,0.875,0.519,0.796
South Bay,2013-06,0.890,0.931,0.511,0.796
San Pablo Bay,2013-07,0.921,0.798,0.486,0.903
South Bay,2013-07,0.949,0.961,0.481,0.788
Suisun Bay,2013-07,0.914,0.357,0.519,0.918
San Pablo Bay,2013-08,0.961,0.905,0.486,0.903
South Bay,2013-08,0.984,0.994,0.489,0.814
Suisun Bay,2013-08,0.940,0.383,0.526,0.918
San Pablo Bay,2013-09,0.875,0.903,0.500,0.893
South Bay,2013-09,0.857,1.000,0.519,0.823
Suisun Bay,2013-09,0.869,0.470,0.526,0.889
San Pablo Bay,2013-10,0.754,0.947,0.497,0.854
South Bay,2013-10,0.770,0.995,0.511,0.779
Suisun Bay,2013-10,0.734,0.657,0.561,0.908
San Pablo Bay,2013-11,0.662,0.945,0.520,0.854
South Bay,2013-11,0.611,0.975,0.556,0.770
Suisun Bay,2013-11,0.634,0.759,0.561,0.879
San Pablo Bay,2013-12,0.594,1.000,0.520,0.845
South Bay,2013-12,0.607,0.971,0.556,0.770
Suisun Bay,2013-12,0.560,1.000,0.558,0.874
San Pablo Bay,2014-01,0.514,0.937,0.574,0.883
South Bay,2014-01,0.512,0.951,0.600,0.796
Suisun Bay,2014-01,0.451,0.901,0.625,0.903
San Pablo Bay,2014-02,0.567,0.855,0.588,0.903
South Bay,2014-02,0.588,0.925,0.607,0.823
Suisun Bay,2014-02,0.525,0.552,0.622,0.899
