time,Temperature,Salinity,Oxygen Electrode,Oxygen Saturation
2009-07,21.25,29.89,6.8,91.0
2009-08,21.48,30.95,6.5,89.0
2009-09,21.05,31.39,6.4,83.0
2009-10,15.74,30.19,7.5,92.0
2009-11,14.45,30.54,7.2,86.5
2009-12,12.715,30.465,7.6,88.0
2010-01,10.58,27.925,8.3,90.0
2010-02,12.33,24.39,8.5,93.0
2010-03,14.32,22.96,8.5,96.0
2010-04,14.0,24.69,8.1,94.0
2010-05,16.32,24.47,7.8,94.0
2010-06,19.57,25.68,7.0,90.0
2010-07,20.715,27.265,6.85,90.0
2010-08,19.73,28.79,6.9,90.0
2010-09,20.13,29.855,6.8,89.5
2010-10,19.31,30.48,6.9,89.0
2010-11,15.65,30.365000000000002,7.4,87.0
2010-12,12.54,28.725,7.75,88.0
2011-01,9.62,22.42,8.9,89.0
2011-02,11.99,22.41,8.9,95.0
2011-03,12.55,19.08,9.1,96.0
2011-04,14.56,14.955,8.6,92.0
2011-05,15.745000000000001,21.0,8.3,95.0
2011-06,19.045,22.275,7.25,89.5
2011-07,20.89,23.5,7.0,89.0
2011-08,20.35,25.87,7.0,91.0
2011-09,20.14,27.555,7.1,94.0
2011-10,19.22,27.87,6.8,89.0
2011-11,14.87,27.98,7.2,89.0
2011-12,11.09,28.12,7.699999999999999,89.5
2012-01,11.05,27.96,8.2,90.0
2012-02,12.01,27.56,8.2,91.5
2012-03,12.01,27.07,8.2,93.0
2012-04,15.29,25.27,7.7,91.0
2012-05,17.835,26.229999999999997,7.65,93.0
2012-06,19.2,27.69,7.0,90.0
2012-07,20.36,29.395,6.8,89.5
2012-08,20.23,30.72,6.5,87.0
2012-09,19.36,31.08,6.7,89.0
2012-10,19.29,31.22,6.8,89.0
2012-11,17.45,30.634999999999998,6.5,84.0
2012-12,14.504999999999999,28.96,7.5,88.0
2013-01,9.085,22.7,8.8,88.0
2013-02,11.57,24.62,9.1,99.0
2013-03,13.85,25.95,8.1,92.0
2013-04,14.715,27.215,7.7,91.0
2013-05,18.3,28.15,7.0,90.0
2013-06,19.86,29.97,6.9,90.0
2013-07,21.17,30.91,6.5,89.0
2013-08,21.955,32.0,6.6,92.0
2013-09,19.115000000000002,32.18,7.0,93.0
2013-10,17.18,32.03,6.9,88.0
2013-11,13.625,31.37,7.5,87.0
2013-12,13.54,31.25,7.5,87.0
2014-01,11.43,30.6,8.1,90.0
2014-02,13.12,29.765,8.2,93.0
