time,Temperature,Salinity,Oxygen Electrode,Oxygen Saturation
2004-05,18.695,2.21,8.75,94.0
2004-06,20.615000000000002,6.635,8.5,94.0
2004-07,21.705,8.02,8.25,101.0
2004-08,21.175,8.01,8.3,98.0
2004-09,21.735,9.465,7.8,96.0
2004-11,16.5275,10.067499999999999,8.425,92.5
2004-12,11.32,10.67,9.05,89.0
2005-01,9.3,2.25,9.6,86.0
2005-02,12.815000000000001,2.23,8.8,90.0
2005-03,15.2,2.86,7.9,89.0
2005-04,15.145,0.10500000000000001,7.7,91.0
2005-05,17.535,0.17,7.0,92.0
2005-06,19.475,0.405,6.8,91.0
2005-09,20.18,6.87,8.3,93.5
2005-10,18.01,8.375,8.45,92.0
2005-11,15.57,9.934999999999999,8.7,92.0
2005-12,11.145,6.04,9.25,91.0
2006-01,10.52,0.06,9.1,82.0
2006-02,11.76,0.065,9.9,87.0
2006-03,10.2,0.06,10.1,86.0
2006-04,12.87,0.06,9.3,79.0
2006-05,17.835,0.05,9.0,96.0
2006-07,22.175,3.895,8.2,96.0
2006-08,20.9,3.6050000000000004,8.5,94.0
2006-09,19.78,4.41,8.3,95.0
2006-10,16.68,9.85,8.6,92.0
2006-11,14.99,9.455,8.8,91.0
2006-12,10.940000000000001,7.8149999999999995,9.7,91.0
2007-01,8.344999999999999,3.385,10.649999999999999,93.0
2007-02,9.28,5.91,10.3,90.5
2007-03,11.850000000000001,0.35500000000000004,10.0,92.5
2007-04,15.594999999999999,3.4000000000000004,9.350000000000001,95.0
2007-07,20.935000000000002,7.4,8.0,95.0
2007-09,20.555,9.57,7.8,95.0
2007-10,16.59,12.79,8.1,92.0
2007-11,15.465,12.955,8.3,92.0
2007-12,11.14,14.84,9.05,92.0
2008-02,9.11,0.125,9.8,86.5
2008-03,13.25,0.48,9.1,90.0
2008-05,16.759999999999998,3.7800000000000002,8.7,93.5
2008-06,19.715,6.484999999999999,8.0,95.0
2008-07,21.314999999999998,9.02,7.7,94.0
2008-08,20.585,8.995000000000001,8.1,95.0
2008-09,19.05,10.4,8.350000000000001,94.0
2008-10,17.21,15.489999999999998,7.95,92.0
2008-11,15.475000000000001,11.43,8.350000000000001,90.0
2008-12,9.915,12.99,9.6,91.0
2009-01,9.125,10.985,10.1,93.0
2009-02,10.36,9.31,9.850000000000001,92.0
2009-03,11.98,0.185,9.4,85.0
2009-04,14.29,3.175,9.55,94.0
2009-05,19.490000000000002,3.3049999999999997,8.7,98.0
2009-06,20.5,4.23,8.2,92.0
2009-07,21.465,8.120000000000001,8.1,95.0
2009-08,19.785,8.435,8.05,93.0
2009-09,21.450000000000003,9.625,8.0,91.0
2009-10,15.76,5.57,8.850000000000001,92.0
2009-11,13.95,11.02,8.8,90.0
2009-12,11.29,12.665,9.4,91.0
2010-01,9.355,8.2,9.7,89.5
2010-02,12.29,2.41,9.2,87.0
2010-03,14.955,4.345000000000001,9.149999999999999,94.0
2010-04,14.205,3.665,9.6,98.0
2010-05,16.61,1.9949999999999999,9.2,96.0
2010-06,20.215,0.185,8.4,92.0
2010-07,19.7,3.52,8.6,96.0
2010-08,19.3,6.895,8.649999999999999,96.0
2010-09,19.525,8.82,8.4,99.0
2010-10,16.845,12.495000000000001,8.5,92.0
2010-12,11.684999999999999,2.9299999999999997,9.3,88.0
2011-01,7.83,0.09,10.3,84.0
2011-02,10.280000000000001,0.295,10.649999999999999,93.0
2011-03,10.91,0.07,10.1,89.0
2011-04,15.58,0.09,9.5,94.0
2011-06,18.729999999999997,0.07500000000000001,8.9,96.0
2011-07,21.22,0.43500000000000005,8.25,94.0
2011-08,21.16,2.76,8.3,95.5
2011-09,20.655,4.425,8.3,97.0
2011-10,18.979999999999997,3.34,8.5,96.0
2011-11,14.0,9.79,8.9,92.5
2011-12,9.815000000000001,8.285,9.325,92.75
2012-01,9.87,13.665,9.75,93.0
2012-02,10.645,8.29,9.6,91.75
2012-03,12.07,1.255,9.45,90.5
2012-04,13.57,4.455,9.0,88.0
2012-05,18.275,6.025,8.5,94.0
2012-06,20.79,4.31,8.1,95.0
2012-07,20.48,6.62,8.149999999999999,94.0
2012-08,20.54,2.73,8.4,96.0
2012-09,19.17,11.385000000000002,8.3,98.0
2012-10,18.92,11.645,7.95,93.0
2012-11,17.490000000000002,8.495,8.0,89.5
2012-12,13.57,1.4,8.5,82.0
2013-01,7.07,0.305,10.6,86.5
2013-02,11.3,6.68,9.95,95.0
2013-03,14.67,5.18,9.399999999999999,97.0
2013-04,17.295,8.005,8.399999999999999,93.0
2013-07,20.384999999999998,6.195,8.1,95.0
2013-08,20.96,6.65,8.2,95.0
2013-09,19.384999999999998,8.15,8.2,92.0
2013-10,16.36,11.405000000000001,8.75,94.0
2013-11,14.145,13.16,8.75,91.0
2013-12,12.485,17.35,8.7,90.5
2014-01,10.055,15.634999999999998,9.75,93.5
2014-02,11.705,9.585,9.7,93.0
